date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:49	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:49%20GMT	https://frame.archive.josias.me/en/post/nvidias-new-rtx-series/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/en/post/nvidias-new-rtx-series/frame-magazine.ch	(from https://frame.archive.josias.me/en/post/nvidias-new-rtx-series/)
19:56:50	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:50%20GMT	https://frame.archive.josias.me/en/post/steve-mccurry/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/en/post/steve-mccurry/frame-magazine.ch	(from https://frame.archive.josias.me/en/post/steve-mccurry/)
19:56:52	51/51	U--MCZ	200	updated ('OK')	text/plain	date:Wed,%2015%20Dec%202021%2018:56:51%20GMT	https://fonts.googleapis.com/robots.txt		(from https://frame.archive.josias.me/de/home/)
19:56:52	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:52%20GMT	https://frame.archive.josias.me/de/home/politik/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/home/politik/frame-magazine.ch	(from https://frame.archive.josias.me/de/home/politik/)
19:56:53	7823/7823	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Dec%202021%2018:56:53%20GMT	https://frame.archive.josias.me/en/home/politik/	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/en/home/politik/index.html	(from https://frame.archive.josias.me/de/home/politik/)
19:56:53	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:53%20GMT	https://frame.archive.josias.me/de/home/social/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/home/social/frame-magazine.64.delayed	(from https://frame.archive.josias.me/de/home/social/)
19:56:54	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:54%20GMT	https://frame.archive.josias.me/de/home/gaming/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/home/gaming/frame-magazine.ch	(from https://frame.archive.josias.me/de/home/gaming/)
19:56:55	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:55%20GMT	https://frame.archive.josias.me/de/home/foto/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/home/foto/frame-magazine.ch	(from https://frame.archive.josias.me/de/home/foto/)
19:56:56	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:56%20GMT	https://frame.archive.josias.me/de/home/inspiration/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/home/inspiration/frame-magazine.ch	(from https://frame.archive.josias.me/de/home/inspiration/)
19:56:57	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:57%20GMT	https://frame.archive.josias.me/de/home/hardware/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/home/hardware/frame-magazine.ch	(from https://frame.archive.josias.me/de/home/hardware/)
19:56:58	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:58%20GMT	https://frame.archive.josias.me/de/home/technologie/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/home/technologie/frame-magazine.ch	(from https://frame.archive.josias.me/de/home/technologie/)
19:56:59	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:59%20GMT	https://frame.archive.josias.me/de/home/audio/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/home/audio/frame-magazine.ch	(from https://frame.archive.josias.me/de/home/audio/)
19:57:00	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:57:00%20GMT	https://frame.archive.josias.me/de/home/design/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/home/design/frame-magazine.ch	(from https://frame.archive.josias.me/de/home/design/)
